Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Cam Atkinson,CBJ,44,6,9,15,78.95,7.96,6,16,23
Josh Leivo,VAN,36,7,8,15,71.43,5.78,4,11,10
Oscar Klefbom,EDM,62,3,12,15,34.09,3.88,16,47,25
Zemgus Girgensons,BUF,69,9,6,15,65.22,6.41,10,9,6
Radek Faksa,DAL,66,8,7,15,55.56,9.1,24,24,28
Teddy Blueger,PIT,69,9,6,15,62.5,7.37,8,17,18
Brock McGinn,CAR,68,5,10,15,60,7.4,12,8,16
Andreas Athanasiou,"DET, EDM",55,7,8,15,83.33,8.02,21,25,14
Tucker Poolman,WPG,57,3,12,15,31.91,2.28,10,41,12
Madison Bowey,DET,53,3,12,15,44.12,2.89,28,41,13
Rasmus Ristolainen,BUF,69,4,11,15,31.25,2.84,26,19,11
Pierre-Edouard Bellemare,COL,69,7,8,15,57.69,5.41,8,11,46
Marcus Pettersson,PIT,69,2,13,15,28.3,2.59,24,29,15
Roope Hintz,DAL,60,12,3,15,55.56,9.37,10,29,19
Neal Pionk,WPG,71,3,12,15,32.61,4.16,20,50,25
Sean Walker,L.A,70,3,12,15,39.47,5.14,16,51,23
Valtteri Filppula,DET,70,4,10,14,58.33,5.29,18,38,13
Alexander Steen,STL,55,6,8,14,50,5.77,10,10,12
Brian Boyle,FLA,39,5,9,14,77.78,4.73,15,11,14
Mark Giordano,CGY,60,2,12,14,34.15,3.81,20,33,23
Blake Comeau,DAL,55,7,7,14,93.33,4.71,28,25,18
Andrew Cogliano,DAL,68,3,11,14,73.68,5.87,20,19,20
Darren Helm,DET,68,8,6,14,77.78,6.72,21,25,21
Nick Leddy,NYI,60,2,12,14,35,3.14,10,45,10
Christopher Tanev,VAN,69,1,13,14,31.11,2.1,18,30,17
Matt Dumba,MIN,69,4,10,14,25,4.56,34,27,13
Cedric Paquette,T.B,61,4,10,14,70,6.97,18,7,13
Carter Rowney,ANA,71,5,9,14,56,5.32,12,24,18
Andreas Johnsson,TOR,43,3,11,14,56,4.96,12,18,11
Seth Jones,CBJ,56,4,10,14,32.56,3.78,18,31,21
Josh Morrissey,WPG,65,4,10,14,28,3.19,20,39,18
Garnet Hathaway,WSH,66,8,6,14,66.67,9.28,42,16,15
Adrian Kempe,L.A,69,4,10,14,73.68,8.14,18,20,21
Brandon Montour,BUF,54,4,10,14,35.9,2.83,24,24,10
Oskar Lindblom,PHI,30,8,6,14,66.67,5.14,4,8,12
Noah Hanifin,CGY,70,4,10,14,28.57,5.37,8,55,30
Ryan Lindgren,NYR,60,1,13,14,30.43,1.43,25,19,23
Blake Lizotte,L.A,65,2,12,14,77.78,6.66,18,16,17
Zdeno Chara,BOS,68,4,9,13,22.81,2.45,36,44,22
Corey Perry,DAL,57,4,9,13,61.9,7.78,41,22,17
Nate Thompson,"MTL, PHI",70,4,9,13,61.9,5.95,23,29,16
Joe Pavelski,DAL,67,5,8,13,41.94,9.75,23,23,28
Artem Anisimov,OTT,49,9,4,13,76.47,6.83,6,11,18
Riley Nash,CBJ,64,4,9,13,59.09,4.5,8,9,19
Brandon Sutter,VAN,44,6,7,13,65,4.83,4,8,9
Wayne Simmonds,"BUF, N.J",68,3,10,13,59.09,7.19,25,17,24
Tyler Myers,VAN,68,4,9,13,25.49,5.01,32,33,34
Michael Del Zotto,ANA,49,2,11,13,32.5,2.31,10,31,8
Marco Scandella,"BUF, MTL, STL",62,4,9,13,27.66,2.64,14,44,15
Nicolas Deslauriers,ANA,59,7,6,13,59.09,5.39,36,10,9
Cody Eakin,"VGK, WPG",49,4,9,13,65,5.12,12,20,17
Brenden Dillon,"S.J, WSH",69,1,12,13,27.08,1.86,50,20,13
Radko Gudas,WSH,63,2,11,13,27.66,2.4,29,30,17
John Klingberg,DAL,58,3,10,13,38.24,3.68,16,59,23
Josh Archibald,EDM,62,7,6,13,68.42,5.26,10,10,14
Victor Rask,MIN,43,5,8,13,65,2.49,6,5,13
Connor Murphy,CHI,58,3,10,13,30.95,3.02,16,36,15
Olli Maatta,CHI,65,4,9,13,27.66,2.89,18,50,18
Colton Sissons,NSH,57,8,5,13,54.17,4.37,12,20,12
